CRUCH,Programas,Año,Cálculo1,Nombre Región,Matrícula total,Matrícula primer año,Área Conocimiento,Nombre Carrera,Tipo Título,Tipo título,Horario,NombreComuna,Nombre Institución,NombreRegion,Matrícula primer año hombres,Matrícula primer año mujeres,Matrícula total hombres,Matrícula total mujeres,anio,tRegion1_NombreRegion
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Diurno,,I.P. LA ARAUCANA,,,,,,2019,Región Metropolitana
Privada,1,01/01/2013,69,Región Metropolitana,69,12,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,10,2,57,12,2013,Región Metropolitana
Privada,1,01/01/2010,532,Región Metropolitana,532,169,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,151,18,477,55,2010,Región Metropolitana
Privada,1,01/01/2014,207,Región Metropolitana,207,33,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Vespertino,Santiago,U. ANDRÉS BELLO,Región Metropolitana,30,3,193,14,2014,Región Metropolitana
Privada,1,01/01/2012,226,Región Metropolitana,226,51,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Vespertino,Santiago,U. ANDRÉS BELLO,Región Metropolitana,46,5,204,22,2012,Región Metropolitana
Privada,1,01/01/2013,224,Región Metropolitana,224,46,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Vespertino,Santiago,U. ANDRÉS BELLO,Región Metropolitana,39,7,205,19,2013,Región Metropolitana
Privada,1,01/01/2008,85,Región Metropolitana,85,22,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Vespertino,Santiago,U. ANDRÉS BELLO,Región Metropolitana,16,6,70,15,2008,Región Metropolitana
Privada,1,01/01/2014,53,Región Metropolitana,53,8,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Vespertino,Santiago,U. ANDRÉS BELLO,Región Metropolitana,7,1,46,7,2014,Región Metropolitana
Privada,1,01/01/2013,64,Región Metropolitana,64,9,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Vespertino,Santiago,U. ANDRÉS BELLO,Región Metropolitana,9,0,56,8,2013,Región Metropolitana
Privada,1,01/01/2008,151,Región Metropolitana,151,68,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,61,7,142,9,2008,Región Metropolitana
Privada,1,01/01/2012,181,Región Metropolitana,181,76,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,73,3,172,9,2012,Región Metropolitana
Privada,1,01/01/2013,219,Región Metropolitana,219,97,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,89,8,205,14,2013,Región Metropolitana
Privada,1,01/01/2010,165,Región Metropolitana,165,60,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,56,4,155,10,2010,Región Metropolitana
Privada,0,01/01/2013,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,,I.P. AIEP,,0,0,0,0,2013,Región Metropolitana
Privada,0,01/01/2012,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,Providencia,U. DE LAS AMÉRICAS,Región Metropolitana,0,0,0,0,2012,Región Metropolitana
Privada,0,01/01/2012,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,Maipú,U. DE LAS AMÉRICAS,Región Metropolitana,0,0,0,0,2012,Región Metropolitana
,0,01/01/2015,0,Región Metropolitana,0,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Diurno,,I.P. IPEGE,,,,,,2015,Región Metropolitana
,1,01/01/2016,3,Región Metropolitana,3,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,,I.P. ESUCOMEX,,0,0,3,0,2016,Región Metropolitana
,1,01/01/2015,42,Región Metropolitana,42,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,,I.P. AIEP,,0,0,38,4,2015,Región Metropolitana
,1,01/01/2017,20,Región Metropolitana,20,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,Santiago,I.P. AIEP,Región Metropolitana,,,18,2,2017,Región Metropolitana
,1,01/01/2017,69,Región Metropolitana,69,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,Santiago,I.P. AIEP,Región Metropolitana,,,62,7,2017,Región Metropolitana
,1,01/01/2015,22,Región Metropolitana,22,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,Santiago,I.P. AIEP,Región Metropolitana,0,0,20,2,2015,Región Metropolitana
,1,01/01/2016,12,Región Metropolitana,12,0,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Diurno,,I.P. ESUCOMEX,,0,0,8,4,2016,Región Metropolitana
,1,01/01/2015,39,Región Metropolitana,39,0,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Peñalolén,U. ADOLFO IBÁÑEZ,Región Metropolitana,,,36,3,2015,Región Metropolitana
,1,01/01/2016,42,Región Metropolitana,42,0,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Peñalolén,U. ADOLFO IBÁÑEZ,Región Metropolitana,0,0,39,3,2016,Región Metropolitana
,1,01/01/2015,68,Región Metropolitana,68,0,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Vespertino,San Joaquín,I.P. DUOC UC,Región Metropolitana,0,0,64,4,2015,Región Metropolitana
,1,01/01/2016,27,Región Metropolitana,27,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Diurno,,I.P. LA ARAUCANA,,0,0,20,7,2016,Región Metropolitana
,1,01/01/2015,6,Región Metropolitana,6,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,Santiago,U. BERNARDO O`HIGGINS,Región Metropolitana,,,6,,2015,Región Metropolitana
,0,01/01/2016,0,Región Metropolitana,0,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Diurno,Quilicura,I.P. LA ARAUCANA,Región Metropolitana,,,,,2016,Región Metropolitana
,0,01/01/2015,0,Región Metropolitana,0,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Diurno,Quilicura,I.P. LA ARAUCANA,Región Metropolitana,0,0,0,0,2015,Región Metropolitana
,1,01/01/2016,19,Región Metropolitana,19,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Vespertino,Quilicura,I.P. LA ARAUCANA,Región Metropolitana,0,0,18,1,2016,Región Metropolitana
,0,01/01/2016,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,San Bernardo,I.P. LA ARAUCANA,Región Metropolitana,,,,,2016,Región Metropolitana
,1,01/01/2015,124,Región Metropolitana,124,53,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Diurno,Cerrillos,I.P. DUOC UC,Región Metropolitana,50,3,115,9,2015,Región Metropolitana
,1,01/01/2017,229,Región Metropolitana,229,0,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. DE CHILE,Región Metropolitana,,,203,26,2017,Región Metropolitana
,1,01/01/2015,56,Región Metropolitana,56,0,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Vespertino,Cerrillos,I.P. DUOC UC,Región Metropolitana,0,0,51,5,2015,Región Metropolitana
Consejo rectores,0,01/01/2006,0,Región Metropolitana,0,0,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Macul,PONTIFICIA U. CATÓLICA DE CHILE,Región Metropolitana,0,0,0,0,2006,Región Metropolitana
Consejo rectores,0,01/01/2005,0,Región Metropolitana,0,0,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Macul,PONTIFICIA U. CATÓLICA DE CHILE,Región Metropolitana,0,0,0,0,2005,Región Metropolitana
Consejo rectores,0,01/01/2007,0,Región Metropolitana,0,0,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Macul,PONTIFICIA U. CATÓLICA DE CHILE,Región Metropolitana,,,,,2007,Región Metropolitana
Consejo rectores,1,01/01/2007,182,Región Metropolitana,182,0,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. DE CHILE,Región Metropolitana,,,170,12,2007,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Diurno,Santiago,I.P. SANTO TOMÁS,Región Metropolitana,,,,,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Vespertino,Quilicura,I.P. LA ARAUCANA,Región Metropolitana,,,,,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Diurno,San Bernardo,I.P. LA ARAUCANA,Región Metropolitana,,,,,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,San Bernardo,I.P. LA ARAUCANA,Región Metropolitana,,,,,2019,Región Metropolitana
,1,01/01/2019,2,Región Metropolitana,2,0,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Diurno,,I.P. SANTO TOMÁS,,0,0,2,0,2019,Región Metropolitana
,1,01/01/2019,100,Región Metropolitana,100,50,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Vespertino,,I.P. SANTO TOMÁS,,43,7,85,15,2019,Región Metropolitana
,1,01/01/2019,1,Región Metropolitana,1,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Vespertino,,I.P. LA ARAUCANA,,0,0,1,0,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,Santiago,U. BERNARDO O`HIGGINS,Región Metropolitana,0,0,0,0,2019,Región Metropolitana
,1,01/01/2019,177,Región Metropolitana,177,54,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. MAYOR,Región Metropolitana,52,2,168,9,2019,Región Metropolitana
,1,01/01/2019,41,Región Metropolitana,41,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Vespertino,Santiago,U. MAYOR,Región Metropolitana,,,35,6,2019,Región Metropolitana
,1,01/01/2019,1,Región Metropolitana,1,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Vespertino,San Bernardo,I.P. LA ARAUCANA,Región Metropolitana,0,0,1,0,2019,Región Metropolitana
,1,01/01/2019,107,Región Metropolitana,107,36,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,Santiago,U. BERNARDO O`HIGGINS,Región Metropolitana,34,2,90,17,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,Santiago,U. BERNARDO O`HIGGINS,Región Metropolitana,0,0,0,0,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,,I.P. LA ARAUCANA,,,,,,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,,I.P. LA ARAUCANA,,,,,,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,San Joaquín,U. TÉCNICA FEDERICO SANTA MARÍA,Región Metropolitana,,,,,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,San Joaquín,U. TÉCNICA FEDERICO SANTA MARÍA,Región Metropolitana,,,,,2019,Región Metropolitana
,1,01/01/2019,20,Región Metropolitana,20,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,San Joaquín,U. TÉCNICA FEDERICO SANTA MARÍA,Región Metropolitana,,,19,1,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Vespertino,,U. ARTURO PRAT,,0,0,0,0,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Vespertino,Santiago,U. ARTURO PRAT,Región Metropolitana,0,0,0,0,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Vespertino,,U. ARTURO PRAT,,0,0,0,0,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Técnico en Computación e Informática,Técnico Nivel Superior,Pregrado,Diurno,Providencia,I.P. DUOC UC,Región Metropolitana,0,0,0,0,2019,Región Metropolitana
Privada,1,01/01/2008,122,Región Metropolitana,122,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,La Florida,I.P. DUOC UC,Región Metropolitana,0,0,115,7,2008,Región Metropolitana
Privada,1,01/01/2008,254,Región Metropolitana,254,60,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Vespertino,Santiago,U. DIEGO PORTALES,Región Metropolitana,55,5,55,199,2008,Región Metropolitana
Privada,1,01/01/2006,137,Región Metropolitana,137,39,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,,I.P. LA ARAUCANA,,30,9,95,42,2006,Región Metropolitana
Privada,1,01/01/2006,334,Región Metropolitana,334,47,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Diurno,Santiago,U. MAYOR,Región Metropolitana,44,3,311,23,2006,Región Metropolitana
Privada,1,01/01/2006,151,Región Metropolitana,151,18,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,Santiago,U. MAYOR,Región Metropolitana,16,2,131,20,2006,Región Metropolitana
Privada,1,01/01/2006,37,Región Metropolitana,37,19,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,Melipilla,U. DEL PACÍFICO,Región Metropolitana,14,5,30,7,2006,Región Metropolitana
Privada,1,01/01/2011,93,Región Metropolitana,93,38,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Diurno,Providencia,U. UCINF,Región Metropolitana,33,5,84,9,2011,Región Metropolitana
Privada,1,01/01/2011,107,Región Metropolitana,107,58,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Providencia,U. UCINF,Región Metropolitana,54,4,96,11,2011,Región Metropolitana
Privada,1,01/01/2011,123,Región Metropolitana,123,51,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Vespertino,Providencia,U. UCINF,Región Metropolitana,44,7,108,15,2011,Región Metropolitana
Privada,1,01/01/2011,126,Región Metropolitana,126,47,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,Providencia,U. UCINF,Región Metropolitana,41,6,108,18,2011,Región Metropolitana
Privada,1,01/01/2014,148,Región Metropolitana,148,64,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Diurno,Maipú,C.F.T. INACAP,Región Metropolitana,59,5,137,11,2014,Región Metropolitana
Privada,1,01/01/2012,136,Región Metropolitana,136,57,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Diurno,Maipú,C.F.T. INACAP,Región Metropolitana,54,3,128,8,2012,Región Metropolitana
Privada,1,01/01/2014,114,Región Metropolitana,114,40,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Vespertino,Maipú,C.F.T. INACAP,Región Metropolitana,39,1,105,9,2014,Región Metropolitana
Privada,1,01/01/2012,85,Región Metropolitana,85,48,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Vespertino,Maipú,C.F.T. INACAP,Región Metropolitana,43,5,77,8,2012,Región Metropolitana
Privada,1,01/01/2012,20,Región Metropolitana,20,1,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. DE LAS AMÉRICAS,Región Metropolitana,1,0,17,3,2012,Región Metropolitana
,1,01/01/2015,432,Región Metropolitana,432,110,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,San Joaquín,U. TÉCNICA FEDERICO SANTA MARÍA,Región Metropolitana,99,11,385,47,2015,Región Metropolitana
